halId_s,docType_s,doiId_s,title_s,authFullName_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,publicationDateY_i,conferenceStartDateY_i,keyword_s
hal-02560166,ART,,Challenges and trends in the valuation of ecosystem services in agro-ecosystems: a systematic revision,"Vadimir A. Melgarejo-Carreno,Sandra Cecilia Bautista Rodríguez,Mauricio Camargo",Tropical and Subtropical Agroecosystems,,,2020,,"Ecological Economics,Agroecology,Complex systems"
hal-02507196,COMM,,Living lab organization and practices as useful tools to stimulate innovation in forestry practices,"Maxence Arnould,Laure Morel,Meriem Fournier",,,Governing and managing forests for multiple ecosystem services across the globe,2020,2020,
hal-02878128,BLOG,,"Les espaces Do It Yourself\, vivre ou survivre ?","Laurent Dupont,Laure Morel",,,,2020,,"Innovation,Modèles,Fablab"
hal-02487442,UNDEFINED,,System control of situations perceived by their simplexity: case-study and open-issues,"Frédérique Mayer,Jean-Marc Dupont,David Gouyon,Eric Levrat,Jean-Pierre Hennebicq,Gérard Morel",,,,2020,,"Interdisciplinary Orchestration,Indoor-air Quality-Control Learning Situation,Simplexity,Systems Dynamics,Systems Engineering,Situation-System,Integrative Physiology"
hal-02482702,UNDEFINED,,Nouvelle dynamique des mélanges fluides continus Part 2 : En relativité générale,"C. Fonteix,Dimitrios Meimaroglou,M. Camargo,M. Feidt",,,,2020,,
hal-02482689,UNDEFINED,,Nouvelle dynamique des mélanges fluides continus Partie 1 : En relativité restreinte,"C. Fonteix,Dimitrios Meimaroglou,M. Camargo,M. Feidt",,,,2020,,
hal-02540404,ART,10.1007/s13132-020-00631-7,Industrial Symbiosis and Territorial Development: The Cross-Fertilization of Proximity Dynamics and the Role of Information and Knowledge Flows,Fedoua Kasmi,Journal of the Knowledge Economy,Springer,,2020,,
hal-02878132,ART,10.3917/jie.031.0001,Collaborative spaces promoting creativity and innovation,"Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel",Journal of Innovation Economics & Management,De Boeck Supérieur,,2020,,
hal-02446557,ART,10.3917/inno.061.0005,Espaces et nouvelles formes d’organisation du travail créatif,"Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel",Innovations - Revue d’économie et de management de l'innovation,De Boeck Supérieur,,2020,,"Organisation du travail,Innovation,Espace d'innovation,Coworking,Fablab"
hal-03134714,ART,10.4067/S0718-27242020000400005,Characterization of Best Practices for Customer/Supplier Collaboration in Co-innovation Projects,"Carlos Abraham Moya,Vincent Boly,Laure Morel,Daniel Galvez,Mauricio Camargo",Journal of Technology Management and Innovation,Universidad Alberto Hurtado,,2020,,"Co-innovation,Framework,Customer/supplier collaboration,Best practices"
hal-03140936,COUV,10.1016/B978-0-12-818376-2.00001-6,Sustainability assessment for chemical product and process design during early design stages,"Paulo César Narváez Rincón,Juliana Serna,Álvaro Orjuela,Mauricio Camargo",,,,2020,,"Sustainability assessment,Chemical product and process design,Early design stages,Multicriteria decision analysis,Sustainability indicators,Globally harmonized system of classification and labelling of chemicals GHS"
hal-02877827,UNDEFINED,,"Dynamique des mélanges fluides continus Part 2 : bilans de quantité de mouvement\, d'énergie et d'entropie par constituant","Christian Fonteix,Michel Feidt,Mauricio Camargo",,,,2020,,"Mélanges fluides continues,Invariance thermodynamique,Cinématique"
hal-02877748,UNDEFINED,,Dynamique des mélanges fluides continus Part 1 : Applications d’une nouvelle formulation du deuxième principe de la thermodynamique,"C. Fonteix,M. Feidt,M. Camargo",,,,2020,,"Mélanges fluides continus,Invariance thermodynamique,Second principe de la thermodynamique"
hal-02446563,ART,10.1016/j.ijdrr.2020.101474,Sustainable risk management strategy selection using a fuzzy multi-criteria decision approach,"Abla Mimi Edjossan-Sossou,Daniel Galvez,Olivier Deck,Marwan Al Heib,Thierry Verdel,Laurent Dupont,Olivier Chery,Mauricio Camargo,Laure Morel",International Journal of Disaster Risk Reduction,Elsevier,,2020,,"Natural hazards,Flood,Sustainable risk management,Decision making tool,Fuzzy multicriteria methods,Uncertainty"
hal-03119204,ART,10.1016/j.susoc.2020.12.001,Towards smart and suitable management of roadsides: System dynamics in the era of industry 4.0,"Sandra Baustista Rodriguez,Brunelle Marche,Fatima Ezzahra Hamdani,Mauricio Camargo,Frédérique Mayer,Davy Monticolo,Christophe Bachmann",Sustainable Operations and Computers,Elsevier,,2020,,"Roadside management,Sustainability,Industry 40,Dynamic system theory"
hal-02877862,UNDEFINED,,Dynamique des mélanges fluides continus Part 3 : Nouvelle modélisation des forces d'interaction entre molécules et des non-linéarités de la diffusion,"Christian Fonteix,Michel Feidt,Mauricio Camargo",,,,2020,,
hal-02978675,ART,10.20870/revforfr.2020.5304,"Perspectives d'émergence d'une filière forêt-chimie des extractibles Points de vue des acteurs du Nord-Est de la France et du Sud-Ouest de l'Allemagne,Perspektiven zur Entstehung einer neuen Wertschöpfungskette Wald – Chemie der Holzinhalts-stoffe. Standpunkte der Akteure in Nordost-Frankreich und Südwest-Deutschland,Prospects for the Emergence of a Forests/Extractive Chemicals industry. Points of View of Players in North-eastern France and South-West Germany","Frédéric Bonin,Maxence Arnould,Pierre Duval,Aristide Robic,Marie-Loréa Tapie-Petit,Mehdi El Hrizi,Theresia Euler,Florian Fernandez-Beltran,Martin Gavant,Florian Lemaire,Sadath Oukpedjo,Solenn Pillet,Thomas Serre,Marieke Blondet,Francis Colin,Philippe Durand,Yves Ehrhart,Christine Gérardin,Philippe Gerardin,Bernard Kientz,Jonathan Lenglet,Thomas Fillbrandt,Heiko Winter,Holger Wernsdörfer",Revue forestière française,AgroParisTech,,2020,,
hal-03085821,ART,10.3917/proj.026.0037,Innovation et agilité - identification de stratégies de déploiement pour le développement des PME,"Laurent Muller,Carlos Moya,Mauricio Carmago,Stéphane Gouttes",Projectics / Proyéctica / Projectique,De Boeck Supérieur,,2020,,"Innovation,Agilité,Lean Six Sigma,PME,Développement de nouveaux produits"
hal-02453808,ART,10.3917/jie.pr1.0066,"Shaping a Public Innovation Laboratory in Bogota: Learning through Time\, Space and Stakeholders","Ferney Osorio,Laurent Dupont,Mauricio Camargo,Carlos Sandoval,José Ismael Peña",Journal of Innovation Economics & Management,De Boeck Supérieur,,2020,,
hal-03047053,PROCEEDINGS,,SIIE'2019 PROCEEDINGS 8th. Edition of the International Conference on: “Information Systems and Economic Intelligence”.,"Sahbi Sidhom,Davy Monticolo,Habib Sidhom",,,International Conference on “Information Systems and Economic Intelligence”: 8th. Edition.,2019,2020,"Information systems,Economic intelligence,Competitive intelligence"
hal-03669229,REPORT,,Livrable 4.1.4 Projet H2020 Smagrinet: Blended learning principles and feasibility study,"Alex Gabriel,Davy Monticolo,Laurent Dupont",,,,2019,,
hal-02427540,COMM,10.1007/978-3-030-34843-4_15,Safety demonstration of autonomous vehicles: a review and future research questions,"Tchoya Florence Koné,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",,,"10th Complex Systems Design & Management, CSD&M 2019",2019,2019,
tel-02518459,THESE,,"L’approche Urban Living Lab pour insuffler l’innovation en urbanisme ? Contribution à la conception d’une ingénierie de pilotage de l’innovation urbaine : application à l’Opération d’Intérêt National d’Alzette Belval,Inspire innovation into urban planning with Urban Living Lab approach? Contribution to the design of an urban innovation management engineering : application to the Opération d’Intérêt National d’Alzette Belval",Jonathan Lacroix,,,,2019,,"Urban Living Lab,Urban development project,Urban innovation,Intervention research,Urban Living Lab,Projet d’aménagement urbain,Innovation urbaine,Recherche intervention"
hal-02423280,ART,10.1002/inst.12265,Review of the AFIS 2018 Academy-Industry meetings in Nancy -The celebration of the 20th anniversary of AFIS!,"Eric Levrat,Eric Bonjour,David Gouyon,Pascale Marangé,Frédérique Mayer,Hervé Panetto,Jean-Claude Tucoulou",INSIGHT - International Council on Systems Engineering (INCOSE),Wiley,,2019,,Systems Engineering
hal-02984936,ART,10.1002/inst.12270,Challenges for autonomous vehicles (AVs) engineering: Safety validation of functional performance limitations,"Tchoya Florence Koné,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",INSIGHT - International Council on Systems Engineering (INCOSE),Wiley,,2019,,
hal-02500522,COMM,,Economic and environmental sustainability dimensions assessment of a biorefinery to obtain value-added products using Poplar (Populus sp.) as raw material,"Juan C. Solarte Toro,Carlos Ariel Cardona,Javier Arrieta-Escobar,Brunelle Marche,Vincent Boly",,,Woodchem 2019,2019,2019,
tel-02555923,THESE,,"Supporting the transformation of a company's project management by elaborating an invariant-based project management maturity model and a causal predictive model between maturity criteria and project performance,Soutien à la transformation de la gestion de projet d'une entreprise par l'élaboration d'un modèle de maturité de gestion de projet et d'un modèle prédictif causal entre les critères de maturité et la performance du projet",Felipe Sanchez Garzon,,,,2019,,"Project management,Maturity model,Agility,Bayesian networks,Knowledge modeling,Gestion de projet,Modèle de maturité,Agilité,Réseaux bayésiens,Modélisation des connaissances"
hal-03259041,POSTER,,"Packaging 4D Xylosourcé pour la Cosmétique Morales Daniela V.\, Nouvel Cécile\, Gérardin Philippe\, Hoppe Sandrine\, Obounou Akong Firmin\, Chapuis Hubert\, Boudaoud Hakim\, Georges Béatrice\, Morel Laure\, Masson Eric\, Gérardin-Charbonnier Christine. \, Epinal\, 18-20 novembre 2019","Daniela Valentina Morales Montecinos,C. Nouvel,Philippe Gerardin,Sandrine Hoppe,Firmin Obounou Akong,Hubert Chapuis,Hakim Boudaoud,Béatrice George,Laure Morel,Masson Eric,Christine Charbonnier-Gérardin",,,8èmesjournées du GDR Sciences du bois,2019,2019,
hal-02500518,COMM,,Approche prospectiviste dans la conception de filière alternative : Application au cas de la lignine,"Brunelle Marche,Javier Arrieta-Escobar,Vincent Boly,Juan Solarte-Toro,Carlos Ariel Cardona Alzate",,,8èmes journées du GDR 3544 « Sciences du bois »,2019,2019,"Lignine,Filière,Prospective,Produits biosourcés"
tel-02517128,THESE,,"From “shared diagnosis” to “shared action” : how Living Lab process can support decision-making process involving citizen for Smart City,D’un « diagnostic partagé » à « l’action partagée » : comment le mode projet Living Lab peut alimenter le processus d’aide à la décision du « faire la ville » en intégrant les citoyens pour une ville intelligente",Tran Thi Hoang Giang,,,,2019,,"Smart City,Living Lab,Decision-making,Smart City,Living Lab,Prise de décision"
hal-02339889,ART,10.1002/sys.21525,Editorial - Special issue on System of Systems Engineering,"Franck Davoine,Eric Bonjour",Systems Engineering,Wiley,,2019,,
hal-02520335,COMM,,Élaboration de filaments élastomère thermoplastiques pour l'impression de structures multi-polymères par dépôt de fil fondu,"Sandrine Hoppe,Jennifer Villamil,A El Akroud,Hakim Boudaoud,Cécile Nouvel",,,17ème Congrès de la Société Française de Génie des Procédés (SFGP),2019,2019,
hal-02307769,COMM,,Immersive Collaborative Innovation,"Laurent Dupont,Giovanny Arbelaez Garces",,,"Tohoku University / Lorraine University seminar - Health, Technology, and Humanities in the XXI Century",2019,2019,
hal-02500577,COMM,,Integration of Heuristic Knowledge in the Design of a Skin Moisturizer,"Javier Arrieta-Escobar,Vincent Boly",,,"SKIN & FORMULATION, 5th SYMPOSIUM & 17th SKIN FORUM",2019,2019,
hal-02942144,ART,10.1002/sys.21522,Interface modeling for product‐service system integration,"Elaheh Maleki,Farouk Belkadi,Eric Bonjour,Ali Slayman,Alain Bernard",Systems Engineering,Wiley,,2019,,"Product‐service system PSS,PSS architecture,System interface modeling,System of systems engineering"
hal-03199086,COMM,,Sustainability dimensions in hydrogen-based distributed energy systems,"Juan David Fonseca Gamboa,Mauricio Camargo,Jean-Marc Jean-Marc.Commenge@univ-Lorraine.Fr Commenge,Laurent Falk,Ivan Gil Chavez",,,European Congress of Chemical Engineering,2019,2019,
tel-02499176,THESE,,"Design of information and technology tools to support the process of creativity and innovation,Conception d'outils d'information et de technologie pour soutenir le processus de créativité et d'innovation",Pedro Chávez Barrios,,,,2019,,"Creativity,Organizational Creativity Workshop,Semantic Approach,Ontology,Multi-agent Systems,Créativité,Atelier de créativité organisationnelle,Approche sémantique,Ontologie,Systèmes multi-agents"
hal-02284566,ART,10.3390/smartcities2030027,Application of Decision-Making Methods in Smart City Projects,"Giang Tran Thi Hoang,Laurent Dupont,Mauricio Camargo",Smart Cities,MDPI,,2019,,"Decision-making,Methods,Smart City,Bibliometric approach"
hal-02367404,COUV,10.1002/9781119644576.ch1,System‐centered specification of physico–physiological interactions of sensory perception,"Jean-Marc Dupont,Frédérique Mayer,Fabien Bouffaron,Romain Lieber,Gérard Morel",,,,2019,,
hal-02520662,COMM,,Specific adhesion test definition for 3D printed composite structures,"A El Akroud,Jennifer Villamil,Sandrine Hoppe,Boudaoud Hakim,Cécile Nouvel",,,19èmes EMI International Conférence,2019,2019,
hal-03005578,COMM,,Application du Lean Six-Sigma pour l’amélioration la supply chain hospitalière et évaluation de son acceptabilité,"Auguste Rakotondranaivo,Nathalie Rouyer,Eric Bonjour",,,PROLOG 2019: International Conference on Project Logistics,2019,2019,
hal-03005579,COMM,,Concevoir et innover la supply chain pour l’alimentation. Le cas des personnes âgées,Auguste Rakotondranaivo,,,PROLOG 2019: International Conference on Project Logistics,2019,2019,
hal-02290507,COMM,,Collaborer et coopérer pour faire réseau : dynamique collective d'enseignants en formation à l'accompagnement pédagogique,"Raphaël Bary,Marie-Reine Boudarel",,,Questions de Pédagogies dans l'Enseignement Supérieur,2019,2019,"Innovation collaborative,Transformation pédagogique,Formation d'enseignants"
hal-02006063,COMM,,Interfaces modeling for Product-Service System integration,"Elaheh Maleki,Farouk Belkadi,Eric Bonjour,Alain Bernard",,,IEEE 2018 13th Annual Conference on System of Systems Engineering (SoSE),2019,2019,
hal-02267002,COMM,,A systematic multicriteria-based approach to support the implementation of a Warehouse Management System in the context of humanitarian logistics,"Emilie Puech,Manon Enjolras,Mauricio Camargo",,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2019,2019,"Humanitarian logistic,Warehouse management system,Multi-criteria analysis,Decision support"
hal-02266978,COMM,10.1109/ICE.2019.8792816,Constellation of Innovation Laboratories: A Scientific Outlook,"Ferney Osorio,Laurent Dupont,Mauricio Camargo,José Ismael Peña",,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2019,2019,"Innovation labs,Bibliometric analysis,Innovation intermediaries,Strategic management"
hal-02266922,COMM,,"Innovation Acceptability in Elderly Care: A Risk Evaluation Approach,Acceptabilité des innovations pour la prise en Charge des personnes âgées : une approche par l’évaluation de risques.","Linda Stefany Acosta Salgado,Auguste Rakotondranaivo,Eric Bonjour",,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2019,2019,
hal-02321804,COMM,10.1109/ICE.2019.8792625,A collaborative tool to design the product/supply chain couple in a high-tech environment: application to an electromagnetic sensor,"Brunelle Marche,Vincent Boly,Frédérique Mayer,J. Roland Ortt",,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2019,2019,
hal-02266212,COMM,10.1109/ICE.2019.8792568,A referential framework for the choice of prototypes in the design phase of a mobile application,"Samuel Marie-Rose,Giovanny Arbelaez Garces,Mauricio Camargo",,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2019,2019,"Prototyping,Design phase,Mobile application,Referential framework"
hal-02267003,COMM,10.1109/ICE.2019.8792656,The Link between Innovation and Export: Evidences from small-sized firms practices,"Manon Enjolras,Mauricio Camargo,Vincent Boly,Christophe Schmitt",,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2019,2019,"Technological innovation,Companies,Interviews,Conferences,Globalization,Europe"
hal-02321814,COMM,10.1109/ICE.2019.8792642,The process of customer/supplier collaboration in innovation projects – A literature review,"Carlos Abraham Moya,Vincent Boly,Daniel Galvez,Laure Morel,Brunelle Marche",,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2019,2019,
hal-02168351,COUV,10.1007/978-3-030-20131-9_280,Proposal of a Harmonic Bees Algorithm for Design Optimization of a Gripper Mechanism,"Osman Acar,Mete Kalyoncu,Alaa Hassan",,,,2019,,
hal-02151353,ART,10.1080/16258312.2019.1622446,A green procurement methodology based on Kraljic Matrix for supplier`s evaluation and selection: a case study from the chemical sector,"Felipe Sanchez Garzon,Manon Enjolras,Mauricio Camargo,Laure Morel",Supply Chain Forum: An International Journal,Kedge Business School,,2019,,"Green supply chain management,Suppliers’ selection,Purchasing,Kraljic,Decision model,Industrial application,Case study"
hal-02412591,COMM,,Lorraine Fab Living Lab : Mise en place d'un éco-système de co-production,Laurent Dupont,,,"Rencontres semestrielles sur les liens entre la Ville et l’Université - Les Entretiens de Sceaux 2e session ""Territoire apprenant...  id est ?""",2019,2019,
hal-02061928,ART,10.1016/j.jclepro.2019.02.179,"Evaluating air quality by combining stationary\, smart mobile pollution monitoring and data-driven modelling","Adriana Simona Mihăiţă,Laurent Dupont,Olivier Chery,Mauricio Camargo,Chen Cai",Journal of Cleaner Production,Elsevier,,2019,,"Air pollution,Eco-neighbourhood,Mobile sensing,Decision trees,Neural networks"
hal-03427016,COMM,,MANITOO : Solveur orienté objet d'équations non linéaires par méthode asymptotique numérique,"Arnaud Lejeune,Fabien Béchet,Hakim Boudaoud,Yves Gaillard,Norman Mathieu,Fabrice Richard,Emeline Sadoulet,Pascal Ventura,Michel Potier-Ferry",,,Colloque Nationale en Calcul des Structures,2019,2019,
hal-03237549,COMM,,MANITOO : Solveur Orienté Objet d'Equations Non Linéaires par Méthode Asymptotique Numérique,"A Lejeune,Fabien Béchet,H Boudaoud,Y Gaillard,N Mathieu,F Richard,E Sadoulet- Reboul,P Ventura,M Potier-Ferry",,,CSMA 2019,2019,2019,"Méthode Asymptotique Numérique,Éléments Finis,Balance Harmonique,Contact"
hal-02278907,COMM,,Activity Modeling of Preliminary Additive Manufacturing Process Planning,"Shervin Kadkhoda-Ahmadi,Alaa Hassan,Elnaz Asadollahi-Yazdi",,,CIRP Design,2019,2019,
hal-01919436,ART,10.1016/j.techfore.2018.10.027,"Understanding user representations\, a new development path for supporting Smart City policy: Evaluation of the electric car use in Lorraine Region","Laurent Dupont,Julien Hubert,Claudine Guidat,Mauricio Camargo",Technological Forecasting and Social Change,Elsevier,,2019,,
hal-03064904,ART,10.1017/S0890060419000088,Methodology to design ontologies from organizational models: application to creativity workshops,"Gabriel Alex,Barrios Pedro Chavez,Monticolo Davy",AI EDAM,Cambridge University Press (CUP),,2019,,
hal-02166163,ART,10.19255/JMPM01906,A Step for improving the transition between traditional Project Management to Agile Project Management,"Felipe Sanchez Garzon,Jean-Pierre Micaëlli,Eric Bonjour,Davy Monticolo",The Journal of Modern Project Management,jmpm,,2019,,"Project management,Process maturity models,Agile approaches"
hal-02194570,COUV,,ValYooTrust : Plateforme de confiance et incitative pour l'innovation collaborative,"Laurent Dupont,Eric Seuillet,Patrick Duvaut",,,,2019,,
hal-02941988,COMM,,Adapting project management maturity models for the Industry 4.0,"Felipe Sanchez Garzon,Davy Monticolo,Eric Bonjour,Jean-Pierre Micaëlli",,,Project Management Congress: Research meets Practice. Towards Project Management 3.0,2019,2019,"Project Management,Agility,Maturity Model,Adaptation,Industry 40"
hal-02492164,COMM,,Open innovation learning : From concepts to targeted competences,"Brunelle Marche,Manon Enjolras,Vincent Boly",,,IAMOT 2019 - Conference Proceedings of the 28th International Conference on Management of Technology,2019,2019,
hal-02492155,COMM,,Innovation capabilities assessment: a sectorial view supported by an original diagnostic tool - the Potential Innovation Index,"Manon Enjolras,Alice de Casanove,Laure Morel,Johan Claire",,,IAMOT - Conference Proceedings of the 28th International Conference on Management of Technology.,2019,2019,
hal-02072187,ART,10.1016/j.jclepro.2019.02.268,Multiobjective optimization for the design of phase III biorefinery sustainable supply chain,"Andrea Teresa Espinoza Pérez,Paulo César Narváez Rincón,Mauricio Camargo,Miguel Domingo Alfaro Marchant",Journal of Cleaner Production,Elsevier,,2019,,
hal-02051719,REPORT,,Donner forme à un réseau pour accompagner la transformation pédagogique,"Raphaël Bary,Marie-Reine Boudarel",,,,2019,,
hal-02004952,ART,10.22215/timreview/1206,Are High-Tech Companies More Competitive Than Others? An Empirical Study of Innovative and Exporting French SMEs,"Manon Enjolras,Mauricio Camargo,Christophe Schmitt",Technology Innovation Management Review,Talent First Network,,2019,,"Exporting SME,Innovation,High Tech,Capabilities,Exporting SME"
hal-01987047,ART,10.1111/caim.12301,Design and management of innovation laboratories: Toward a performance assessment tool,"Ferney Osorio,Laurent Dupont,Mauricio Camargo,Pedro Palominos,José Ismael Peña,Miguel Alfaro",Creativity and Innovation Management,Wiley,,2019,,"Innovation laboratory,Strategy,Physical spaces,Maturity assessment"
hal-02047441,ART,10.21494/ISTE.OP.2019.0314,"Confiance et Technologie,Confidence and Technology","Laurent Dupont,Joëlle Mastelic,Nathalie Nyffeler,Sophie Latrille,Eric Seulliet",Technologie et innovation,ISTE OpenScience,,2019,,"Open Innovation,Agile Innovation,Living Lab,Co-creativze platform,Confiance,Innovation ouverte,Innovation agile,Living lab,Plateforme de co-création"
hal-02010208,ART,10.3917/inno.058.0005,"Communautés et agilité : la complexité de l’organisation innovante,Knowledge communities and creative agility","Florence Crespin-Mazet,Karine Goglio-Primard,Claude Guittard,Laurent Dupont",Innovations - Revue d’économie et de management de l'innovation,De Boeck Supérieur,,2019,,"Management,Management,Pensée économique,Innovation,Organisation"
hal-01973288,ART,10.21494/ISTE.OP.2019.0315,Agilité et conception de filière : le cas de la montre SWATCH,"Brunelle Marche,Vincent Boly,Laure Morel,Frédérique Mayer,Roland Ortt",Technologie et innovation,ISTE OpenScience,,2019,,
hal-02168355,ART,10.1007/s00170-019-03991-w,Process and resource selection methodology in design for additive manufacturing,"Shervin Kadkhoda-Ahmadi,Elnaz Asadollahi-Yazdi,Alaa Hassan",International Journal of Advanced Manufacturing Technology,Springer Verlag,,2019,,"Additive Manufacturing,Design for Additive Manufacturing,Multi-criteria decision making,Manufacturability,Process selection"
hal-02010213,ART,10.3917/jie.028.0001,Agile innovation: Creating value in uncertain environments,Laurent Dupont,Journal of Innovation Economics & Management,De Boeck Supérieur,,2019,,"Agile innovation,Agility,Innovation"
hal-02942265,OUV,10.1007/978-3-030-04209-7,Complex Systems Design & Management - CSDM 2018 Proceedings,"Eric Bonjour,Daniel Krob,Luca Palladino,François Stephan",,,,2019,,
hal-02281239,COUV,10.1016/B978-0-12-818634-3.50073-4,Integration of Consumer Preferences and Heuristic Knowledge in the Design of Formulated Products: Application to a Cosmetic Emulsion,"Javier Arrieta-Escobar,Fernando Bernardo,Alvaro Orjuela,Mauricio Camargo,Laure Morel,Laurent Wendling",,,,2019,,"Consumer assessment,Product design,Heuristics,Emulsions,Skin moisturizer"
hal-02281238,COUV,,Clustering alternative product formulations using graphs,"Fernando Bernardo,Javier Arrieta-Escobar",,,,2019,,
hal-01987055,ART,10.21494/ISTE.OP.2019.0312,"Innovation Agile : Regards Pluridisciplinaires,Agile Innovation: Multidisciplinary Approaches","Laurent Dupont,Laure Morel",Technologie et innovation,ISTE OpenScience,,2019,,"Agility,Agile Innovation,Multidisciplinary,Organization,Engineering,Economy,Management,Agilité,Innovation agile,Pluridisciplinarité,Organisation,Ingénierie,Économie,Gestion"
hal-02155509,COUV,,Spécification centrée système d’interactions physico-physiologiques de perception sensorielle,"Jean-Marc Dupont,Frédérique Mayer,Fabien Bouffaron,Romain Lieber,Gérard Morel",,,,2019,,"Situation-Système,Co-Spécification exécutable,Co-Simulation,Validation,Vérification,Orchestration de connaissances interdisciplinaires,Travail collaboratif,Interaction physico-physiologique,Perception/Action,Physiologie intégrative,Ingénierie Système Basée sur des Modèles"
hal-02492205,ART,10.3917/jie.pr1.0064,Innovation Spaces in Universities: Support for Collaborative Learning,"Lorena Delgado,Daniel Galvez,Alaa Hassan,Pedro Palominos,Laure Morel",Journal of Innovation Economics & Management,De Boeck Supérieur,,2019,,"Entrepreneurship Projects,Multidisciplinarity,Teamwork,Collaborative Learning,Innovation Spaces"
hal-02010217,ART,10.3917/jie.028.0053,Living lab as a support to trust for co-creation of value: application to the consumer energy market,"Laurent Dupont,Joëlle Mastelic,Nathalie Nyffeler,Sophie Latrille,Eric Seulliet",Journal of Innovation Economics & Management,De Boeck Supérieur,,2019,,
hal-02492141,ART,10.21494/ISTE.OP.2019.0317,Le caractère dynamique et évolutif de la notion d’innovation : Quelles conséquences pour l’évaluation de la capacité à innover des entreprises ?,"Manon Enjolras,Daniel Galvez,Johan Claire,Mauricio Camargo,Vincent Boly",Technologie et innovation,ISTE OpenScience,,2019,,
hal-03023641,ART,10.3917/jie.028.0079,Agility and product supply chain design: The case of the Swatch,"Brunelle Marche,Vincent Boly,Laure Morel,Frédérique Mayer,Roland Ortt",Journal of Innovation Economics & Management,De Boeck Supérieur,,2019,,
hal-01959521,ART,10.1108/IJLSS-01-2018-0001,A new framework to support Lean Six Sigma deployment in SMEs,"Carlos Abraham Moya,Daniel Galvez,Laurent Muller,Mauricio Camargo",International Journal of Lean Six Sigma,Emerald Publishing,,2018,,"Lean Six Sigma,SMEs,AHP,Assessment tool,Maturity grid"
tel-02122781,THESE,,"Methodological approach for the sustainable design of structured chemical products during early design stages,Approche méthodologique pour la conception durable de produits chimiques structurés dans les premières phases de la conception",Juliana Serna Rodas,,,,2018,,"Chemical Product Design,Design Methodology,Customer Needs,Emulsion design,Sustainability,Cosmetic Products,Produits cosmétiques,Durabilité,Conception d'émulsion,Besoins,Méthodologie de conception,Conception de produit chimique"
tel-02122637,THESE,,"An Integrated Methodology for Chemical Product Design: Application to Cosmetic Emulsions,Une méthodologie intégrée de conception de produits chimiques : application sur des émulsions cosmétiques",Javier Arrieta-Escobar,,,,2018,,"Cosmetics,Product design,Cosmétiques,Conception de produits,Émulsions"
hal-03250758,ART,10.1080/15376494.2017.1286418,Numerical method for nonlinear complex eigenvalues problems depending on two parameters: Application to three-layered viscoelastic composite structures,"Komlan Akoussan,Hakim Boudaoud,El Mostafa Daya,Yao Koutsawa,Erasmo Carrera",Mechanics of Advanced Materials and Structures,Taylor & Francis,,2018,,"Asymptotic numerical method,Automatic differentiation,Continuation,Homotopy,Nonlinear eigenvalue problem,Viscoelastic structures"
hal-01959528,ART,10.1016/j.jclepro.2018.12.111,A system dynamics approach for sustainability assessment of biodiesel production in Colombia. Baseline simulation,"Sandra Bautista,Andrea Espinoza,Paulo Narvaez,Mauricio Camargo,Laure Morel",Journal of Cleaner Production,Elsevier,,2018,,Sustainability assessmentBiodiesel productionSystem dynamics
hal-02942017,COMM,10.1109/SITIS.2018.00071,Use of Bayesian Network characteristics to link project management maturity and risk of project overcost,"Felipe Sanchez,Davy Monticolo,Eric Bonjour,Jean-Pierre Micaëlli",,,2018 14th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS),2018,2018,"Knowledge reuse,Project Management,Maturity Model,Bayesian Networks,Use case"
tel-01946850,THESE,,"From product design to supply chain design : Which methodologies for the upstream stages of innovation?,De la conception de produit à la conception de filière : Quelles méthodologies pour les étapes amont de l’innovation ?",Brunelle Marche,,,,2018,,"Innovation,Supply Chain,Co-design,Agility,Model-based engineering,Manufacturing companies,Filière,Co-conception,Agilité,Ingénierie basée sur des modèles,Entreprises manufacturières"
tel-02103198,THESE,,"Favoriser l’adoption des mobilités actives : proposition d’une démarche de conception centrée usage pour accompagner un territoire dans l’élaboration de ses politiques de transport,Promote adoption of active mobility : a use-centered design approach to help territory to develop transport policies",Aline Convolte,,,,2018,,"Innovation,Active mobility,System engineering,Living lab,Value analysis,Territory,Mobilité active,Ingénierie système,Analyse de la valeur,Territoire"
hal-02507166,COMM,,Conception et évaluation de systèmes d'innovation pour mieux mobiliser les bois en petite propriété forestière privée,"Maxence Arnould,Laure Morel,Meriem Fournier",,,7 èmes journées du GDR 3544 « Sciences du bois »,2018,2018,"Mobilisation des bois,Système d’innovation,Living lab,Massif forestier,Propriété forestière privée"
